{'t': 47822238, 'u': 0.000000, 'cp': 0.000000, 'cv': 0.000000, 'tp': 2.059369, 'tv': -0.001639, 'ep': 2.616588, 'ev': 0.128645, 'dt': 70788}
{'t': 47822356, 'u': 0.000000, 'cp': 0.000000, 'cv': 0.000000, 'tp': 2.058986, 'tv': -0.066673, 'ep': 2.616588, 'ev': 0.063765, 'dt': 70784}
{'t': 47822474, 'u': 0.000000, 'cp': 0.000000, 'cv': 0.000000, 'tp': 2.059753, 'tv': 0.128198, 'ep': 2.616971, 'ev': 0.128733, 'dt': 70856}
{'t': 47822592, 'u': 0.000000, 'cp': 0.000000, 'cv': 0.000000, 'tp': 2.059753, 'tv': 0.128198, 'ep': 2.616588, 'ev': 0.193587, 'dt': 70752}
{'t': 47822710, 'u': 0.000000, 'cp': 0.000000, 'cv': 0.000000, 'tp': 2.059753, 'tv': 0.063266, 'ep': 2.616588, 'ev': 0.128696, 'dt': 70720}
{'t': 47822828, 'u': 0.000000, 'cp': -0.012500, 'cv': 0.000000, 'tp': 2.059753, 'tv': 0.127751, 'ep': 2.616204, 'ev': -0.065255, 'dt': 70752}
{'t': 47822947, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 2.059753, 'tv': -0.000940, 'ep': 2.616588, 'ev': 0.063413, 'dt': 71500}
{'t': 47823068, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 2.059753, 'tv': -0.130762, 'ep': 2.616588, 'ev': 0.128344, 'dt': 72164}
{'t': 47823188, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 2.059753, 'tv': -0.000653, 'ep': 2.615437, 'ev': -0.128002, 'dt': 72172}
{'t': 47823308, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 2.060136, 'tv': 0.063066, 'ep': 2.615821, 'ev': -0.064283, 'dt': 72200}
{'t': 47823428, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 2.060136, 'tv': 0.193138, 'ep': 2.616588, 'ev': -0.066813, 'dt': 72164}
{'t': 47823549, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 2.060136, 'tv': 0.063206, 'ep': 2.616204, 'ev': -0.130483, 'dt': 72256}
{'t': 47823669, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 2.060136, 'tv': 0.193190, 'ep': 2.616204, 'ev': 0.064513, 'dt': 72208}
{'t': 47823789, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 2.060136, 'tv': 0.128236, 'ep': 2.615821, 'ev': -0.064256, 'dt': 72136}
{'t': 47823910, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 2.058986, 'tv': -0.062919, 'ep': 2.616204, 'ev': -0.065483, 'dt': 72216}
{'t': 47824030, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 2.059369, 'tv': -0.064126, 'ep': 2.616971, 'ev': -0.003057, 'dt': 72252}

{'t': 377952546, 'u': 0.000000, 'cp': 0.000000, 'cv': 0.000000, 'tp': 8.345622, 'tv': -0.065430, 'ep': 12.042900, 'ev': 0.066773, 'dt': 70972}
{'t': 377952664, 'u': 0.000000, 'cp': 0.000000, 'cv': 0.000000, 'tp': 8.345622, 'tv': -0.000999, 'ep': 12.042516, 'ev': 0.195177, 'dt': 71604}
{'t': 377952783, 'u': 0.000000, 'cp': 0.000000, 'cv': 0.000000, 'tp': 8.346390, 'tv': 0.063862, 'ep': 12.042132, 'ev': -0.129261, 'dt': 70932}
{'t': 377952902, 'u': 0.000000, 'cp': 0.000000, 'cv': 0.000000, 'tp': 8.346006, 'tv': -0.065847, 'ep': 12.042132, 'ev': 0.000712, 'dt': 70992}
{'t': 377953020, 'u': 0.000000, 'cp': 0.000000, 'cv': 0.000000, 'tp': 8.346390, 'tv': 0.063227, 'ep': 12.041749, 'ev': -0.063613, 'dt': 71520}
{'t': 377953138, 'u': 0.000000, 'cp': 0.000000, 'cv': 0.000000, 'tp': 8.346006, 'tv': -0.066486, 'ep': 12.042516, 'ev': 0.130951, 'dt': 70940}
{'t': 377953257, 'u': 0.000000, 'cp': 0.000000, 'cv': 0.000000, 'tp': 8.345622, 'tv': -0.066581, 'ep': 12.042900, 'ev': 0.131047, 'dt': 70984}
{'t': 377953376, 'u': 0.000000, 'cp': 0.000000, 'cv': 0.000000, 'tp': 8.346006, 'tv': -0.001606, 'ep': 12.042516, 'ev': 0.001194, 'dt': 70980}
{'t': 377953494, 'u': 0.000000, 'cp': 0.000000, 'cv': 0.000000, 'tp': 8.346390, 'tv': 0.127632, 'ep': 12.042516, 'ev': -0.063854, 'dt': 71672}
{'t': 377953613, 'u': 0.000000, 'cp': 0.000000, 'cv': 0.000000, 'tp': 8.346390, 'tv': 0.127632, 'ep': 12.042132, 'ev': -0.128713, 'dt': 70932}
{'t': 377953731, 'u': 0.000000, 'cp': 0.000000, 'cv': 0.000000, 'tp': 8.346006, 'tv': 0.062726, 'ep': 12.042132, 'ev': -0.000018, 'dt': 70880}
{'t': 377953850, 'u': 0.000000, 'cp': 0.000000, 'cv': 0.000000, 'tp': 8.345239, 'tv': -0.067240, 'ep': 12.041749, 'ev': -0.129716, 'dt': 70884}
{'t': 377953969, 'u': 0.000000, 'cp': 0.000000, 'cv': 0.000000, 'tp': 8.345622, 'tv': -0.003198, 'ep': 12.041749, 'ev': -0.129716, 'dt': 71836}
{'t': 377954088, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 8.346773, 'tv': 0.061726, 'ep': 12.042516, 'ev': 0.194381, 'dt': 70948}
{'t': 377954209, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 8.346390, 'tv': 0.063570, 'ep': 12.042900, 'ev': 0.192694, 'dt': 73084}
{'t': 377954329, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 8.346390, 'tv': 0.063570, 'ep': 12.042900, 'ev': 0.127858, 'dt': 72284}
{'t': 377954450, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 8.346390, 'tv': -0.001292, 'ep': 12.042132, 'ev': -0.129568, 'dt': 72232}
{'t': 377954570, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 8.346390, 'tv': 0.063585, 'ep': 12.042132, 'ev': -0.064530, 'dt': 72300}
{'t': 377954691, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 8.346390, 'tv': 0.128561, 'ep': 12.042132, 'ev': -0.129505, 'dt': 72324}
{'t': 377954812, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 8.345622, 'tv': -0.128776, 'ep': 12.041749, 'ev': -0.063432, 'dt': 72220}
{'t': 377954933, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 8.346006, 'tv': -0.000781, 'ep': 12.042516, 'ev': 0.062479, 'dt': 73076}

{'t': 434775273, 'u': 0.000000, 'cp': -0.012500, 'cv': -0.008941, 'tp': 11.467657, 'tv': -0.064404, 'ep': 12.036380, 'ev': -0.131507, 'dt': 72364}
